SubClass,Label,Label,Class,Definition,imported from,definition source,comments,Synonyms,dateSubmitted
DIGITRUBBER:DIGITRUBBER_000028,approximation [ita],,http://purl.obolibrary.org/obo/IAO_0000104,Approximation is a technique for approximating a value using historical or available observations from the domain.,,,,,
DIGITRUBBER:DIGITRUBBER_000029,function approximation [ita],,http://purl.obolibrary.org/obo/IAO_0000104,Function approximation is a technique for estimating an unknown underlying function using historical or available observations from the domain.,,,,,
DIGITRUBBER:DIGITRUBBER_000030,reinforcement learning [ita],,http://purl.obolibrary.org/obo/IAO_0000104,"Reinforcement learning is a set of machine learning methods in which an agent autonomously learns a strategy to maximize a reward. Algorithms follow the trail-and-error principle, thus try several strategies and repeat those with a higher reward. During the training the agent produces an input, while the target output is only known to a teacher. The teacher gives feedback to the agent in form of a reward.",,,,,
DIGITRUBBER:DIGITRUBBER_000031,library [ita],,http://purl.obolibrary.org/obo/IAO_0000030,Libraries in programming languages are collections of prewritten code that users can use to optimize tasks.,,,,,
DIGITRUBBER:DIGITRUBBER_000032,cluster analysis [ita],,http://purl.obolibrary.org/obo/IAO_0000104,"Clustering or cluster analysis is a unsupervised machine learning technique, which groups the unlabelled dataset. It can be defined as a way of grouping the data points into different clusters, consisting of similar data points.",,,,,
DIGITRUBBER:DIGITRUBBER_000033,cluster analysis [ncti],,http://purl.obolibrary.org/obo/IAO_0000104,Methods for grouping objects into subsets such that those within each cluster are more closely related to one another than objects assigned to different clusters.,,http://purl.obolibrary.org/obo/NCIT_C15426,http://purl.obolibrary.org/obo/ncit.owl,,
DIGITRUBBER:DIGITRUBBER_000034,data mining [ita],,http://purl.obolibrary.org/obo/IAO_0000104,"A Database is a System for describing, storing and retrieving large amounts of data.",,,,,
DIGITRUBBER:DIGITRUBBER_000035,data mining [edam],,http://purl.obolibrary.org/obo/IAO_0000104,"An information set with a regular structure. Although it can be applied to any set of information the term was invented to refer to computerized data, and is used almost exclusively in computing.",,http://edamontology.org/topic_3473,http://edamontology.org,,
DIGITRUBBER:DIGITRUBBER_000036,database [ita],,http://purl.obolibrary.org/obo/BFO_0000040,"A Database is a System for describing, storing and retrieving large amounts of data.",,,,,
DIGITRUBBER:DIGITRUBBER_000037,database [ncti],,http://purl.obolibrary.org/obo/BFO_0000040,"An information set with a regular structure. Although it can be applied to any set of information the term was invented to refer to computerized data, and is used almost exclusively in computing.",,http://purl.obolibrary.org/obo/NCIT_C15426,http://purl.obolibrary.org/obo/ncit.owl,,
DIGITRUBBER:DIGITRUBBER_000038,deep learning [ita],,http://purl.obolibrary.org/obo/IAO_0000104,"Deep learning is a class of machine learning algorithms that uses multiple layers to progressively extract higher-level features from the raw input. There is no universally agreed-upon threshold of depth that divides shallow learning from deep learning, but most researchers agree that deep learning involves CAP depth higher than 2. The CAP (credit assignment path) is the chain of transformations from input to output. CAPs describe potentially causal connections between input and output. For simple neural networks (feedforward neural networks) this treshhold is reached with at least two hidden layers.",,,,,
DIGITRUBBER:DIGITRUBBER_000039,deep learning [ncti],,http://purl.obolibrary.org/obo/IAO_0000104,A subset of machine learning that is part of the broader family of machine learning methodologies based on artificial neural networks. A deep neural network has multiple layers between input and output layers to progressively extract higher level features from the raw input. (After DeepAI Machine Learning Glossary and Terms) [ NCI ],,http://purl.obolibrary.org/obo/NCIT_C176258,http://purl.obolibrary.org/obo/ncit.owl,,
DIGITRUBBER:DIGITRUBBER_000040,input layer [ita],,http://purl.obolibrary.org/obo/IAO_0000030,"The input layer of a neural network is composed of artificial input neurons, and brings the initial data into the system for further processing by subsequent layers of artificial neurons. The input layer is the very beginning of the workflow for the artificial neural network.",,,,,
DIGITRUBBER:DIGITRUBBER_000041,elastomers [ita],,http://purl.obolibrary.org/obo/BFO_0000040,Elastomers are dimensionally stable but elastically deformable plastics. They are producest by vulcanization of rubber.,,,,,
DIGITRUBBER:DIGITRUBBER_000042,output layer [ita],,http://purl.obolibrary.org/obo/IAO_0000030,The output layer in an artificial neural network is the last layer of neurons that produces given outputs for the program.,,,,,
DIGITRUBBER:DIGITRUBBER_000043,extrusion [ita],,http://purl.obolibrary.org/obo/BFO_0000015,Extrusion is a process used to create objects of a fixed cross-sectional profile by pushing material through a die of the desired cross-section.,,,,,
DIGITRUBBER:DIGITRUBBER_000044,extrusion [rex],,http://purl.obolibrary.org/obo/BFO_0000015,"A transformation in which an atom or group Y connected to two other atoms or groups X and Z is lost from a molecule, leading to a product in which X is bonded to Z, e.g. X-Y-Z --> X-Z + Y.",,http://purl.obolibrary.org/obo/REX_0000100,http://purl.obolibrary.org/obo/rex.owl,,
DIGITRUBBER:DIGITRUBBER_000045,extrusion [chmo],,http://purl.obolibrary.org/obo/BFO_0000015,A process used to create objects of a fixed cross-sectional profile by forcing or drawing a material through a die.,,http://purl.obolibrary.org/obo/CHMO_0001613,http://purl.obolibrary.org/obo/chmo.owl,,
DIGITRUBBER:DIGITRUBBER_000046,hidden layer [ita],,http://purl.obolibrary.org/obo/IAO_0000030,"In neural networks, a hidden layer is located between the input and output of the algorithm, in which the function applies weights to the inputs and directs them through an activation function as the output. In short, the hidden layers perform nonlinear transformations of the inputs entered into the network.",,,,,
DIGITRUBBER:DIGITRUBBER_000047,Industrie 4.0 [ita],,http://purl.obolibrary.org/obo/IAO_0000104,"Industrie 4.0 is the intelligent networking of machines and processes in the industrial environment, with the help of information and communication technology and thus digitization of the industrial production.",,,,,
DIGITRUBBER:DIGITRUBBER_000048,rubber [ita],,http://purl.obolibrary.org/obo/BFO_0000040,Rubber is an elastic substance made either from the juice of particular tropical trees or artificially. It is raw material for car tires and other technical products.,,,,,
DIGITRUBBER:DIGITRUBBER_000049,Artificial Intelligence (AI) [ita],,http://purl.obolibrary.org/obo/IAO_0000104,Artifical intelligence is a branch of computer science dealing with the automation of intelligent behavior. Can be used in technical areas as methods of machine learning.,,,,,
DIGITRUBBER:DIGITRUBBER_000050,Artificial Intelligence (AI) [ncti],,http://purl.obolibrary.org/obo/IAO_0000104,Artificial intelligence is the branch of computer science that deals with writing computer programs that can solve problems creatively.,,http://purl.obolibrary.org/obo/NCIT_C16309,http://purl.obolibrary.org/obo/ncit.owl,,
DIGITRUBBER:DIGITRUBBER_000051,machine learning [ita],,http://purl.obolibrary.org/obo/IAO_0000104,"Machine learning is a sub-area of ​​artificial intelligence that deals with artificial systems that adapt their actions to external conditions so that their output is improved according to defined standards. For this purpose, algorithms build a model based on training data. The algorithms does not learn to memorize, but uses patterns and laws, so the systems can also process unknown data. The learning algorithms are divided into supervised learning, unsupervised learning and reinforcement learning.",,,,,
DIGITRUBBER:DIGITRUBBER_000052,machine learning [ncti],,http://purl.obolibrary.org/obo/IAO_0000104,A computing system (inspired by biological neural networks) that learns (progressively improves its ability) to do tasks by considering examples without task-specific programming. (After DeepAI Machine Learning Glossary and Terms),,http://purl.obolibrary.org/obo/NCIT_C176231,http://purl.obolibrary.org/obo/ncit.owl,,
DIGITRUBBER:DIGITRUBBER_000053,machine learning [obi],,http://purl.obolibrary.org/obo/IAO_0000104,"A planned process in which statistical techniques are used to give computers the ability to learn about patterns in data, without being explicitly programmed. Learning is defined in this case as progressively improving performance on a specific task.",,http://purl.obolibrary.org/obo/OBI_0002587,http://purl.obolibrary.org/obo/obi.owl,,
DIGITRUBBER:DIGITRUBBER_000054,machine learning [edam],,http://purl.obolibrary.org/obo/IAO_0000104,"A topic concerning the application of artificial intelligence methods to algorithms, in order to create methods that can learn from data in order to generate an ouput, rather than relying on explicitly encoded information only.",,http://edamontology.org/topic_3474,http://edamontology.org,,
DIGITRUBBER:DIGITRUBBER_000055,microcontroller [ita],,http://purl.obolibrary.org/obo/BFO_0000040,"Microcontrollers are compact integrated circuits designed to govern a specific operation in an embedded system. Typically a microcontroller includes a processor, memory and input/output peripherals on a single chip.",,,,,
DIGITRUBBER:DIGITRUBBER_000056,mixing [ita],,http://purl.obolibrary.org/obo/BFO_0000015,"Mixing is the first of the three areas of an extrusion line, where the input material is homogenized and mixed. This occurs within a screw element through shearing and mixing of the input material.",,,,,
DIGITRUBBER:DIGITRUBBER_000057,mixing [chmo],,http://purl.obolibrary.org/obo/BFO_0000015,"The combining of components, particles or layers into a more homogeneous state. The mixing may be achieved manually or mechanically by shifting the material with stirrers or pumps or by revolving or shaking the container. The process μst not permit segregation of particles of different size or properties. Homogeneity may be considered to have been achieved in a practical sense when the sampling error of the processed portion is negligible compared to the total error of the measurement system.",,http://purl.obolibrary.org/obo/CHMO_0001685,http://purl.obolibrary.org/obo/chmo.owl,,
DIGITRUBBER:DIGITRUBBER_000058,mixing [ncti],,http://purl.obolibrary.org/obo/BFO_0000015,To bring or combine together or with something else; add as an additional element or part.,,http://purl.obolibrary.org/obo/NCIT_C64925,http://purl.obolibrary.org/obo/ncit.owl,,
DIGITRUBBER:DIGITRUBBER_000059,pattern recognition [ita],,http://purl.obolibrary.org/obo/IAO_0000104,"Pattern recognition is the automated recognition of patterns and regularities in data. Pattern recognition has its origins in statistics and engineering; some modern approches include the use of machine learning, due to the increased availability of big data and a new abundance of processing power.",,,,,
DIGITRUBBER:DIGITRUBBER_000060,pattern recognition [ncti],,http://purl.obolibrary.org/obo/IAO_0000104,"A branch of artificial intelligence concerned with the identification of visual or audio patterns by computers.For the computer to recognize the patterns, the patterns must be converted into digital signals and compared with patterns already stored in memory.Some uses of this technology are in character recognition, voice recognition, handwriting recognition, and robotics. (High-Tech Dictionary) [ NCI ]",,http://purl.obolibrary.org/obo/NCIT_C16961,http://purl.obolibrary.org/obo/ncit.owl,,
DIGITRUBBER:DIGITRUBBER_000061,neural network [ita],,http://purl.obolibrary.org/obo/IAO_0000104,"Artificial neural networks (ANNs) are based on a reduced set of concepts from biological neural systems. It is composed of different Layeres, an input layer, one or more hidden layers and an output layer. Each layer consists of several artificial neurons. The connections of the biological neuron are modeled in artificial neural networks as weights between the artificial neurons. A positive weight reflects an excitatory connection, while negative values mean inhibitory connections. An activation function controls the amplitude of the output. They can be used to model complex relationships between inputs and outputs or to find patterns in data. Thereby ANNs can be trained by machine learning techniques to approximate a function, when the complexity of the data or task makes the design of such function by hand impractical. Other tasks in which ANNs can be trained are classification, including pattern recognition, clustering and Data processing, including clustering.",,,,,
DIGITRUBBER:DIGITRUBBER_000062,neural network [ncti],,http://purl.obolibrary.org/obo/IAO_0000104,"A computer algorithm to solve non-linear optimization problems. The algorithm was derived in analogy to the way the densely interconnected, parallel structure of the brain processes information.",,http://purl.obolibrary.org/obo/NCIT_C17429,http://purl.obolibrary.org/obo/ncit.owl,,
DIGITRUBBER:DIGITRUBBER_000063,online characterisation [ita],,http://purl.obolibrary.org/obo/BFO_0000015,Online characterisation is the characterization of the material properties during the process and on the real process line in order to be able to react to fluctuations during production.,,,,,
DIGITRUBBER:DIGITRUBBER_000064,online optimization [ita],,http://purl.obolibrary.org/obo/BFO_0000015,In online optimization decisions are made directly in the real process section and without knowledge of future results. Also often the data of the problem instance is not complete.,,,,,
DIGITRUBBER:DIGITRUBBER_000065,optimization [ita],,http://purl.obolibrary.org/obo/BFO_0000015,Optimizers are algorithms or methods used to solve optimization problems by minimize an error function (loss function) or to maximize the efficiency of production. Optimizers are mathematical functions which are dependent on model's learnable parameters i.e Weights & Biases.,,,,,
DIGITRUBBER:DIGITRUBBER_000066,optimization [ncti],,http://purl.obolibrary.org/obo/BFO_0000015,An activity that attempts to find the best solution to a problem.,,http://purl.obolibrary.org/obo/NCIT_C78561,http://purl.obolibrary.org/obo/ncit.owl,,
DIGITRUBBER:DIGITRUBBER_000067,Production-in-the-Loop [ita],,http://purl.obolibrary.org/obo/IAO_0000104,"Production-in-the-Loop describes a method, in which information from the production process is continuously recorded and the process is adapted to the changing framework conditions on the basis of this information.",,,,,
DIGITRUBBER:DIGITRUBBER_000068,regression analysis [ita],,http://purl.obolibrary.org/obo/IAO_0000104,"Regression analysis consists of a set of machine learning methods that allow us to predict a continuous outcome variable (y) based on the value of one or multiple predictor variables (x). Regression is a supervised learning technique, in which Algorithems build a mathematical Modell or equation that defines y as a funktion of x.",,,,,
DIGITRUBBER:DIGITRUBBER_000069,simulation environment [ita],,http://purl.obolibrary.org/obo/BFO_0000040,"A simulation environment is a virtual environment that maps/models the real process. A simulation model thus makes it possible to train control tasks using learning algorithms offline, i.e. not on the real system but on the computer. Neural networks can be used to create such model.",,,,,
DIGITRUBBER:DIGITRUBBER_000070,test dataset [ita],,http://purl.obolibrary.org/obo/IAO_0000030,The test dataset is a subset of the dataset that is held back from training the model and given to the learning algorithm to test the trained model. Typically it consists of 20% to 30% of the original dataset. It is the sample of data used to provide an unbiased evaluation of a final model fit on the training dataset.,,,,,
DIGITRUBBER:DIGITRUBBER_000071,train dataset [ita],,http://purl.obolibrary.org/obo/IAO_0000030,The train dataset is a subset of the dataset that is given to the learning algorithm to train a model. Typically it consists of 70% to 80% of the original dataset. It is the sample of data used to fit the model.,,,,,
DIGITRUBBER:DIGITRUBBER_000072,supervised learning [ita],,http://purl.obolibrary.org/obo/IAO_0000104,"Supervised learning is the machine learning task of learning a function that maps an input to an output based on example input-output pairs. It infers a function from labeled training data consisting of a set of training examples. In supervised learning, each example is a pair consisting of an input object (typically a vector) and a desired output value (target).",,,,,
DIGITRUBBER:DIGITRUBBER_000073,supervised learning [obi],,http://purl.obolibrary.org/obo/IAO_0000104,A machine learning process using a function that maps an input to an output based on example input-output pairs. It infers a function from labeled training data consisting of a set of training examples.,,http://purl.obolibrary.org/obo/OBI_0002588,http://purl.obolibrary.org/obo/obi.owl,supervised machine learning,
DIGITRUBBER:DIGITRUBBER_000074,unsupervised learning [ita],,http://purl.obolibrary.org/obo/IAO_0000104,"Unsupervised learning is a type of algorithm that learns patterns from untagged data. The hope is that through mimicry, which is an important mode of learning in people, the machine is forced to build a compact internal representation of its world and then generate imaginative content from it. Unsupervised methods exhibit self-organization that captures patterns as probability densities or a combination of neural feature preferences.",,,,,
DIGITRUBBER:DIGITRUBBER_000075,unsupervised learning [obi],,http://purl.obolibrary.org/obo/IAO_0000104,"A machine learning process that infers a function describing the structure of ""unlabeled"" data (i.e. data that has not been classified or categorized).",,http://purl.obolibrary.org/obo/OBI_0002589,http://purl.obolibrary.org/obo/obi.owl,unsupervised machine learning,
