SubClass,Label,Label,Class,Definition,imported from,definition source,comments,Synonyms,dateSubmitted
DIGITRUBBER:DIGITRUBBER_000109,human ressource cost [hsh],personalkosten [hsh],http://purl.obolibrary.org/obo/IAO_0000030,A cost group for all cost values occuring from entity sub-groups in the human ressource cost group and the associated factors,,,,,
DIGITRUBBER:DIGITRUBBER_000110,maintenance cost [hsh],wartungskosten [hsh],http://purl.obolibrary.org/obo/IAO_0000030,A cost group for all cost values occuring from entity sub-groups in the maintenance cost group and the associated factors,,,,,
DIGITRUBBER:DIGITRUBBER_000111,energy cost [hsh],energiekosten [hsh],http://purl.obolibrary.org/obo/IAO_0000030,A cost group for all cost values occuring from entity sub-groups in the energy cost group and the associated factors,,,,,
DIGITRUBBER:DIGITRUBBER_000112,material cost [hsh],materialkosten [hsh],http://purl.obolibrary.org/obo/IAO_0000030,A cost group for all cost values occuring from entity sub-groups in the material cost group and the associated factors,,,,,
DIGITRUBBER:DIGITRUBBER_000113,storage cost [hsh],lagerhaltungskosten [hsh],http://purl.obolibrary.org/obo/IAO_0000030,A cost group for all cost values occuring from entity sub-groups in the storage cost group and the associated factors,,,,,
DIGITRUBBER:DIGITRUBBER_000114,production cost [hsh],produktionskosten [hsh],http://purl.obolibrary.org/obo/IAO_0000030,A cost group for all cost values occuring from entity sub-groups in the production cost group and the associated factors,,,,,
DIGITRUBBER:DIGITRUBBER_000115,investment cost [hsh],investitionskosten [hsh],http://purl.obolibrary.org/obo/IAO_0000030,A cost group for all cost values occuring from entity sub-groups in the investment cost group and the associated factors,,,,,
DIGITRUBBER:DIGITRUBBER_000116,waste management cost [hsh],abfallmanagementkosten [hsh],http://purl.obolibrary.org/obo/IAO_0000030,A cost group for all cost values occuring from entity sub-groups in the waste management cost group and the associated factors,,,,,
DIGITRUBBER:DIGITRUBBER_000117,turnover [hsh],umsatz [hsh],http://purl.obolibrary.org/obo/IAO_0000030,A cost group for the total sales value generated in a time period X by the system under investigation,,,,,
DIGITRUBBER:DIGITRUBBER_000118,machine [hsh],maschine [hsh],http://purl.obolibrary.org/obo/BFO_0000040,"An apparatus using mechanical power and having several parts, each with a definite function and together performing a particular task, required for operations in the system under investigation. Constitutes an entity in the maintenance cost, energy cost, production cost, investment cost and turnover cost group.",,,,,
DIGITRUBBER:DIGITRUBBER_000119,condition [hsh],zustand [hsh],http://purl.obolibrary.org/obo/BFO_0000019,"The state of an unit within an individual entity sub-group with regard to its working order (e.g., good, defective, not working).",,,,,
DIGITRUBBER:DIGITRUBBER_000120,condition [ncti],zustand [ncti],http://purl.obolibrary.org/obo/BFO_0000019,"A state of being, such as a state of health.",http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C25457,,,
DIGITRUBBER:DIGITRUBBER_000121,condition [shacl],zustand [shacl],http://purl.obolibrary.org/obo/BFO_0000019,The shapes that the focus nodes need to conform to before a rule is executed on them.,http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#condition,,,
DIGITRUBBER:DIGITRUBBER_000122,condition [ssn],zustand [ssn],http://purl.obolibrary.org/obo/BFO_0000019,"Used to specify ranges for qualities that act as conditions on a system/sensor's operation. For example, wind speed of 10-60m/s may be used as the condition on a SystemProperty, for example, to state that a sensor has a particular accuracy in that",http://www.w3.org/ns/ssn/systems/,http://www.w3.org/ns/ssn/systems/Condition,,,
DIGITRUBBER:DIGITRUBBER_000123,raw material [hsh],rohmaterial [hsh],http://purl.obolibrary.org/obo/BFO_0000040,The basic materials from which a finished product is made in the system under investigation. Constitutes an entity in the material cost and waste management cost group.,,,,,
DIGITRUBBER:DIGITRUBBER_000124,semi-finished product [hsh],halbfabrikat [hsh],http://purl.obolibrary.org/obo/BFO_0000040,Processed raw materials that are not used for final consumption but as input for the production of finished goods in the system under investigation. Constitutes an entity in the material cost and waste management cost group.,,,,,
DIGITRUBBER:DIGITRUBBER_000125,finished product [hsh],endprodukt [hsh],http://purl.obolibrary.org/obo/BFO_0000040,"The product that emerges at the end of the production process of the system under study.  Constitutes an entity in the material cost, production cost, and waste management cost group.",,,,,
DIGITRUBBER:DIGITRUBBER_000126,spare parts [hsh],ersatzteil [hsh],http://purl.obolibrary.org/obo/BFO_0000040,A duplicate part to replace a lost or damaged part of a machine entity unit in the system under investigation. Constitutes an entity sub-group of the wear parts entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000127,wear parts [hsh],verschleißteil [hsh],http://purl.obolibrary.org/obo/BFO_0000040,Parts pf a machine entity unit that are bound to wear out with repetitive use and will require periodic repair or replacement based on maintenance interval in the system under investigation. Constitutes an entity of the maintenance cost and material cost group.,,,,,
DIGITRUBBER:DIGITRUBBER_000128,packaging [hsh],verpackung [hsh],http://purl.obolibrary.org/obo/BFO_0000040,"Materials used to wrap or protect raw materials, semi-finished products, and finished products.",,,,,
DIGITRUBBER:DIGITRUBBER_000129,operator [hsh],operator [hsh],http://purl.obolibrary.org/obo/BFO_0000023,A person who operates a machine entity unit in the system under investigation. Constitutes an entity of the human resource and the production cost group.,,,,,
DIGITRUBBER:DIGITRUBBER_000130,operator [ncti],operator [ncti],http://purl.obolibrary.org/obo/BFO_0000023,A person that operates some apparatus or machine.,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C48036,,,
DIGITRUBBER:DIGITRUBBER_000131,supervisor [hsh],supervisor [hsh],http://purl.obolibrary.org/obo/BFO_0000023,A person who supervises and coordinates the work of employees who set up and operate machine entity units in the system under investigation. Constitutes an entity of the human ressource and the production cost group.,,,,,
DIGITRUBBER:DIGITRUBBER_000132,supervisor [ncti],supervisor [ncti],http://purl.obolibrary.org/obo/BFO_0000023,"An individual who is responsible for managing or operating a business, organization, team or department.",http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C134832,,,
DIGITRUBBER:DIGITRUBBER_000133,supervisor [m4i],supervisor  [m4i],http://purl.obolibrary.org/obo/BFO_0000023,"Designated administrator over one or more groups/teams working to produce a resource, or over one or more steps of a development process",http://w3id.org/nfdi4ing/metadata4ing#,http://w3id.org/nfdi4ing/metadata4ing#Supervisor,,,
DIGITRUBBER:DIGITRUBBER_000134,operational assistant [hsh],hilfskraft [hsh],http://purl.obolibrary.org/obo/BFO_0000023,A person who supports an operator in the system under investigation. Constitutes an entity of the human ressource and the production cost group.,,,,,
DIGITRUBBER:DIGITRUBBER_000135,warehouse clerk [hsh],lagerist [hsh],http://purl.obolibrary.org/obo/BFO_0000023,"A person who handles a company's incoming and outgoing raw materials, semi-finished prodcuts as well as finished products, and who manages stocks in the system under investigation. Constitutes an entity of the human ressource and the storage cost group.",,,,,
DIGITRUBBER:DIGITRUBBER_000136,quality inspector [hsh],qualitätsprüfer [hsh],http://purl.obolibrary.org/obo/BFO_0000023,A person who monitors the quality of incoming and outgoing products or materials in the system under investigation. Constitutes an entity of the human ressource and the production cost group.,,,,,
DIGITRUBBER:DIGITRUBBER_000137,conveyor vehicle [hsh],fördermittel [hsh],http://purl.obolibrary.org/obo/BFO_0000040,"A mode of transport that is employed to transport raw materials, semi-finished goods and finished goods within the system under investigation. ",,,,,
DIGITRUBBER:DIGITRUBBER_000138,mean time to failure [hsh],mittlere zeit bis zum ausfall [hsh],http://purl.obolibrary.org/obo/IAO_0000030,A maintenance metric that measures the average amount of time a non-repairable asset operates before it fails in the system under investigation. Constitutes a factor of the maintenance cost group.,,,,,
DIGITRUBBER:DIGITRUBBER_000139,mean time to repair [hsh],mittlere reperaturdauer [hsh],http://purl.obolibrary.org/obo/IAO_0000030,A maintenance metric that measures the average time required to troubleshoot and repair failed equipment. Constitutes a factor of the maintenance cost group.,,,,,
DIGITRUBBER:DIGITRUBBER_000140,maintenance interval [hsh],wartungsintevall [hsh],http://purl.obolibrary.org/obo/IAO_0000030,The schedule for all anticipated maintenance activities regarding machine entites within the system under investigation. Constitutes a factor of the maintenance cost group.,,,,,
DIGITRUBBER:DIGITRUBBER_000141,maintenance interval [iirds],wartungsintevall,http://purl.obolibrary.org/obo/IAO_0000030,Type of planning time: Fixed time interval for the scheduled maintenance of a technical system or its parts.,http://iirds.tekom.de/iirds#,http://iirds.tekom.de/iirds#MaintenanceInterval,,,
DIGITRUBBER:DIGITRUBBER_000142,maintenance duration [hsh],wartungsdauer [hsh],http://purl.obolibrary.org/obo/IAO_0000030,The averafe time that is required to conduct scheduled maintenance activities for a machine entity unit. Constitutes a factor of the maintenance cost group.,,,,,
DIGITRUBBER:DIGITRUBBER_000143,energy consumption [hsh],stromverbrauch [hsh],http://purl.obolibrary.org/obo/IAO_0000030,"The amount of electricity (kw/h) that is consumed by all entities in the system under investigation. Constitutes a factor of the energy cost, storage cost and production cost group.",,,,,
DIGITRUBBER:DIGITRUBBER_000144,unit cost [hsh],stückkosten [hsh],http://purl.obolibrary.org/obo/IAO_0000030,"The expenditure that incurs for acquiring a single unit of an entity sub-group in the system under investigation. Constitutes a factor of the maintenance cost, material cost, and storage cost group.",,,,,
DIGITRUBBER:DIGITRUBBER_000145,building [hsh],gebäude [hsh],http://purl.obolibrary.org/obo/BFO_0000040,The facility where the operations of the system under investigation are conducted. Constitutes an entity of the energy cost group.,,,,,
DIGITRUBBER:DIGITRUBBER_000146,building [bwmd],gebäude,http://purl.obolibrary.org/obo/BFO_0000040,Any kind of building (e.g. an institute building),http://purl.allotrope.org/ontologies,https://www.materials.fraunhofer.de/ontologies/BWMD_ontology/mid#BWMD_00027,,,
DIGITRUBBER:DIGITRUBBER_000147,building [allotrope],gebäude,http://purl.obolibrary.org/obo/BFO_0000040,A building (site) is a site located in a structure with a roof and walls. [Allotrope],http://purl.allotrope.org/,http://purl.allotrope.org/ontologies/spatial#AFSP_0000003,,,
DIGITRUBBER:DIGITRUBBER_000148,building [ncit],gebäude,http://purl.obolibrary.org/obo/BFO_0000040,A structure that has a roof and walls and stands more or less permanently in one place.,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C80231,,,
DIGITRUBBER:DIGITRUBBER_000149,building [envo],gebäude,http://purl.obolibrary.org/obo/BFO_0000040,A permanent walled and roofed construction.,http://purl.obolibrary.org/obo/envo.owl,http://purl.obolibrary.org/obo/ENVO_00000073,,,
DIGITRUBBER:DIGITRUBBER_000150,throughput [hsh],durchsatz [hsh],http://purl.obolibrary.org/obo/IAO_0000030,"The amount of raw materials, semi-finisehd products or finished products passing through a machine entity in the time X in the system under investigation.",,,,,
DIGITRUBBER:DIGITRUBBER_000151,indirect cost [hsh],indirekte kosten [hsh],http://purl.obolibrary.org/obo/IAO_0000030,All costs that are derived from costs groups encompassing overhead charges or subsidiary work.,,,,,
DIGITRUBBER:DIGITRUBBER_000152,direct cost [hsh],direkte kosten [hsh],http://purl.obolibrary.org/obo/IAO_0000030,All costs that are derived from costs groups that are directly related to the production of finished goods in the system under study.,,,,,
DIGITRUBBER:DIGITRUBBER_000153,direct cost,direkte kosten,http://purl.obolibrary.org/obo/IAO_0000030,Costs that can be identified with a particular project or program.,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C19579,,,
http://purl.obolibrary.org/obo/UO_0000000,unit [hsh],einheit [hsh],http://purl.obolibrary.org/obo/IAO_0000030,"A single system element (e.g., extruder 1, tool 1) within an entity sub-group in the system under investigation.",,,,,
http://purl.obolibrary.org/obo/UO_0000000,unit [ncti],einheit [ncti],http://purl.obolibrary.org/obo/IAO_0000030,"A property representing the unit of measure in which a nutrient or food component is typically expressed, ex., gram (g), minigram (mg), microgram (mcg), joule, or kilojoule.",http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_P355,,,
http://purl.obolibrary.org/obo/UO_0000000,unit [ncti],einheit [ncti],http://purl.obolibrary.org/obo/IAO_0000030,"The property used in conjunction with a nutrient or food component, typically expressed in gram (g), milligram (mg), microgram (mcg), joule, or kilojoule.",http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C68553,,,
http://purl.obolibrary.org/obo/UO_0000000,unit [ncti],einheit [ncti],http://purl.obolibrary.org/obo/IAO_0000030,A single undivided thing occurring in the composition of something else.,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C44278,,,
http://purl.obolibrary.org/obo/UO_0000000,unit [sd],einheit [sd],http://purl.obolibrary.org/obo/IAO_0000030,Class designed to distinguish the different types of units that are available in variables from datasets or parameters,https://w3id.org/okn/o/sd,https://w3id.org/okn/o/sd#Unit,,,
http://purl.obolibrary.org/obo/UO_0000000,unit [uo],einheit [uo],http://purl.obolibrary.org/obo/IAO_0000030,"""A unit of measurement is a standardized quantity of a physical quality."" [Wikipedia:Wikipedia]",http://purl.obolibrary.org/obo/uo.owl,http://purl.obolibrary.org/obo/UO_0000000,,,
DIGITRUBBER:DIGITRUBBER_000160,extruder [hsh],extruder [hsh],http://purl.obolibrary.org/obo/BFO_0000040,A machine that pushes unvulcanized rubber compounds through an extrusion die under pressure. Constitutes an entity sub-group of the machine entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000161,banbury mixer [hsh],knetmaschine [hsh],http://purl.obolibrary.org/obo/BFO_0000040,A machine that mixes polymers and additives in the manufacture of plastic and rubber products. Constitutes an entity sub-group of the machine entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000162,tire building machine [hsh],reifenproduktionsmaschine [hsh],http://purl.obolibrary.org/obo/BFO_0000040,A machine that assembles assembles all components and semi-finished products to produce a tyre. Constitutes an entity sub-group of the machine entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000163,cutter [hsh],schneidemaschine [hsh],http://purl.obolibrary.org/obo/BFO_0000040,A pneumtaic machine that cuts rubber materials. Constitutes an entity sub-group of the machine entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000164,calandar [hsh],kalandar [hsh],http://purl.obolibrary.org/obo/BFO_0000040,A machine that combines a series of hard pressure rollers used to finish or smooth a sheet of rubber material. Constitutes an entity sub-group of the machine entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000165,storage robot [hsh],lagerroboter [hsh],http://purl.obolibrary.org/obo/BFO_0000040,"An automated system that transports good to, within and from storage areas. Constitutes an entity sub-group of the machine entity.",,,,,
DIGITRUBBER:DIGITRUBBER_000166,gantry crane [hsh],portalkran [hsh],http://purl.obolibrary.org/obo/BFO_0000040,An overhead crane with a girder configuration supported by freestanding legs that move on wheels to transport goods. Constitutes an entity sub-group of the machine entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000167,uniformity grading machine [hsh],gleichförmigkeitsmessautomat [hsh],http://purl.obolibrary.org/obo/BFO_0000040,A machine that is measures the tire uniformity for complete vehicle wheels and determines the radial and lateral force fluctuations of the rolling wheel. Constitutes an entity sub-group of the machine entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000168,forklift [hsh],gabelstapler [hsh],http://purl.obolibrary.org/obo/BFO_0000040,A powered industrial truck used to lift and move materials over short distances. Constitutes an entity sub-group of the conveyor vehicle entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000169,conveyor [hsh],fördertechnik [hsh],http://purl.obolibrary.org/obo/BFO_0000040,A continuous moving strip or surface that is used for transporting objects between different destinations. Constitutes an entity sub-group of the conveyor vehicle entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000170,lift truck [hsh],hubwagen [hsh],http://purl.obolibrary.org/obo/BFO_0000040,A small truck for lifting and transporting loads. Constitutes an entity sub-group of the conveyor vehicle entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000171,tools [hsh],wekzeuge [hsh],http://purl.obolibrary.org/obo/BFO_0000040,"An object shaped for repair and installation purposes, with the help of which something is processed or manufactured.Constitutes an entity sub-group of the wear parts entity.",,,,,
DIGITRUBBER:DIGITRUBBER_000172,small parts [hsh],kleinteile [hsh],http://purl.obolibrary.org/obo/BFO_0000040,A set of small wear parts required to maintain and repair a machine entity. Constitutes an entity sub-group of the wear parts entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000173,whole components [hsh],ganze komponenten [hsh],http://purl.obolibrary.org/obo/BFO_0000040,Components required to maintain and repair a machine entity. Constitutes an entity sub-group of the wear parts entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000174,lighting [hsh],beleuchtung [hsh],http://purl.obolibrary.org/obo/BFO_0000040,Equipment that is employed for producing light in the system under investigation. Constitutes an entity sub-group of the building entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000175,air conditioning [hsh],klimatisierung [hsh],http://purl.obolibrary.org/obo/BFO_0000040,Equipment that is employed for cooling and heating in the system under investigation. Constitutes an entity sub-group of the building entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000176,office equipment [hsh],büroausstattung [hsh],http://purl.obolibrary.org/obo/BFO_0000040,Equipment that is employed for managerial purposes in the system under investigation.,,,,,
DIGITRUBBER:DIGITRUBBER_000177,narural rubber [hsh],naturkautschuk [hsh],http://purl.obolibrary.org/obo/BFO_0000040,An elastic material obtained from the latex sap of trees. Constitutes an entity sub-group of the raw material entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000178,narural rubber [ncti],naturkautschuk [ncti],http://purl.obolibrary.org/obo/BFO_0000040,The natural extract of tropical rubber plants.,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C106043,,,
DIGITRUBBER:DIGITRUBBER_000179,synthetic rubber [hsh],synthetikkautschuk [hsh],http://purl.obolibrary.org/obo/BFO_0000040,"Any of several substances similar to natural rubber in properties and uses, produced synthetically. Constitutes an entity sub-group of the raw material entity.",,,,,
DIGITRUBBER:DIGITRUBBER_000180,filling material [hsh],füllstoffe [hsh],http://purl.obolibrary.org/obo/BFO_0000040,Material that is required to manipulate the properties of rubber products. Constitutes an entity sub-group of the raw material entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000181,reinforcing materials [hsh],verstärkungsmaterialien [hsh],http://purl.obolibrary.org/obo/BFO_0000040,"Material that is used to support the structure of rubber based products (e.g., steel cords). Constitutes an entity sub-group of the raw material entity.",,,,,
DIGITRUBBER:DIGITRUBBER_000182,plasticizer [hsh],weichmacher [hsh],http://purl.obolibrary.org/obo/BFO_0000040,A substance added to a synthetic resin to produce or promote plasticity and flexibility and to reduce brittleness. Constitutes an entity sub-group of the raw material entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000183,plasticizer [ncti],weichmacher [ncti],http://purl.obolibrary.org/obo/BFO_0000040,A substance added to plastics or other materials to make or keep them soft or pliable.,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C55826,plasticiser,,
DIGITRUBBER:DIGITRUBBER_000184,plasticizer [chebi],weichmacher [chebi],http://purl.obolibrary.org/obo/BFO_0000040,"Any compound that is used as an additive to increase the plasticity or fluidity of a substance, particularly but not exclusively to synthetic polymers.",http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_79056,,,
DIGITRUBBER:DIGITRUBBER_000185,vulcanization chemicals [hsh],vulkanisationschemikalien [hsh],http://purl.obolibrary.org/obo/BFO_0000040,Chemicals added to rubber to alter its physical properties. Constitutes an entity sub-group of the raw material entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000186,other additives [hsh],sonstige additive [hsh],http://purl.obolibrary.org/obo/BFO_0000040,Additional substances that are employed to product rubber-based products. Constitutes an entity sub-group of the raw material entity.,,,,,
DIGITRUBBER:DIGITRUBBER_000187,Raman spectroscopy [ifnano],,http://purl.obolibrary.org/obo/IAO_0000104,A non-destructive light scattering technique that provides detailed information about the chemical structure upon the interaction of light with the chemical bonds within a material based on periodic changes of polarizabilities.,,https://www.horiba.com/ind/raman-imaging-and-spectroscopy/,,,
DIGITRUBBER:DIGITRUBBER_000188,Raman spectroscopy [allotrope],,http://purl.obolibrary.org/obo/IAO_0000104,"Any type of vibrational spectroscopy where the Raman scattering of monochromatic light, usually from a laser in the visible, near infrared, or near ultraviolet range by a sample is detected. [CHMO]",skos:definition,http://purl.allotrope.org/ontologies/process#AFP_0000047,http://purl.allotrope.org/ontologies/,,
DIGITRUBBER:DIGITRUBBER_000189,Raman spectroscopy [ncit],,http://purl.obolibrary.org/obo/IAO_0000104,Emission of electromagnetic energy with a shorter frequency (longer wavelength) than that of the incident monochromatic light. Arises from the low probability absorption of quanta with a higher energy than that required for a transition: the difference in energy is emitted as a lower frequency (energy) photon. Allows analysis of vibrational and rotational energy levels using visible incident light. [ NCI ],,http://purl.obolibrary.org/obo/NCIT_C17157,http://purl.obolibrary.org/obo/ncit.owl,,
DIGITRUBBER:DIGITRUBBER_000190,Spectrum [ifnano],,http://purl.obolibrary.org/obo/IAO_0000030,A graph that shows the intensity of radiation at different wavelengths or the response of the atomic or molecular system to different wavelengths of the radiation,,"https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Book%3A_Quantum_States_of_Atoms_and_Molecules_(Zielinksi_et_al)/01%3A_Spectroscopy#:~:text=A%20spectrum%20is%20a%20graph,different%20wavelengths%20of%20the%20radiation.",,,
DIGITRUBBER:DIGITRUBBER_000191,Spectrum [allotrope],,http://purl.obolibrary.org/obo/IAO_0000030,A spectrum is a data distribution function of a measured quantity in a spectroscopy against some experimental parameter. [Allotrope],skos:definition,http://purl.allotrope.org/ontologies/result#AFR_0000068,http://purl.allotrope.org/ontologies/,,
DIGITRUBBER:DIGITRUBBER_000192,Spectrum [ncit],,http://purl.obolibrary.org/obo/IAO_0000030,"An array of entities, such as light waves or particles, ordered in accordance with the magnitudes of a common physical property, such as wavelength or mass.",,http://purl.obolibrary.org/obo/NCIT_C84383,http://purl.obolibrary.org/obo/ncit.owl,,
DIGITRUBBER:DIGITRUBBER_000193,Raman spectrum [ifnano],,http://purl.obolibrary.org/obo/IAO_0000030,"A graph presents a number of peaks, showing the intensity and wavelength position of the Raman scattered light, in which each peak corresponds to a specific molecular bond vibration.",,,,,
DIGITRUBBER:DIGITRUBBER_000194,Raman spectrum [allotrope],,http://purl.obolibrary.org/obo/IAO_0000030,A plot of intensity vs. Raman shift (cm-1) obtained by measuring the Raman scattering of monochromatic light from a sample. [CHMO],skos:definition,http://purl.allotrope.org/ontologies/result#AFR_0000519,http://purl.allotrope.org/ontologies/,,
DIGITRUBBER:DIGITRUBBER_000195,FTIR spectroscopy [ifnano],,http://purl.obolibrary.org/obo/IAO_0000104,Fourier transform infrared involves the probing of matter with infrared radiation. It is based on periodic changes in dipole moments caused by molecular vibrations during the absorption of IR radiation and gives spectroscopic fingerprints.,,,,,
DIGITRUBBER:DIGITRUBBER_000196,ATR-FTIR [ifnano],,http://purl.obolibrary.org/obo/IAO_0000104,An attenuated total reflection accessory operates by measuring the changes that occur in a totally internally reflected infrared beam when the beam comes into contact with a sample.,,,,,
DIGITRUBBER:DIGITRUBBER_000197,Statistical discrimination [ifnano],,http://purl.obolibrary.org/obo/IAO_0000104,It arises when groups differ statistically in their distributions on characteristics relevant to a given situation.,,,,,
DIGITRUBBER:DIGITRUBBER_000198,Chemometrics [ifnano],,http://purl.obolibrary.org/obo/IAO_0000104,"The chemical discipline that uses mathematical and statistical methods, (a) to design or select optimal measurement procedures and experiments, and (b) to provide maximum chemical information by analyzing chemical data.",,,,,
DIGITRUBBER:DIGITRUBBER_000199,Raw rubber samples [ifnano],,http://purl.obolibrary.org/obo/BFO_0000040,Natural and synthetic rubber materials that are modified and shaped into rubber products through the rubber extrusion process.,,,,,
DIGITRUBBER:DIGITRUBBER_000200,Correlation [ifnano],,http://purl.obolibrary.org/obo/IAO_0000030,A statistical measure that expresses the extent to which two variables are linearly related (meaning they change together at a constant rate). It’s a common tool for describing simple relationships without making a statement about cause and effect.,,https://www.jmp.com/en_ca/statistics-knowledge-portal/what-is-correlation.html,,,
DIGITRUBBER:DIGITRUBBER_000201,Correlation [ncit],,http://purl.obolibrary.org/obo/IAO_0000030,"The degree to which two or more quantities or events are linearly associated, a statistical relation between two or more variables such that systematic changes in the value of one variable are accompanied by systematic changes in the others.",,http://purl.obolibrary.org/obo/NCIT_C48834,http://purl.obolibrary.org/obo/ncit.owl,,
DIGITRUBBER:DIGITRUBBER_000202,concentration [ifnano],,http://purl.obolibrary.org/obo/BFO_0000019,A quality of a substance in terms of its amount per unit volume in a mixture.,,https://en.wikipedia.org/wiki/Concentration,,,
DIGITRUBBER:DIGITRUBBER_000203,concentration [bwmd],,http://purl.obolibrary.org/obo/BFO_0000019,The quantity kind concentration,,https://www.materials.fraunhofer.de/ontologies/BWMD_ontology/mid#BWMD_00298,https://www.materials.fraunhofer.de/ontologies/BWMD_ontology,,
DIGITRUBBER:DIGITRUBBER_000204,concentration [allotrope],,http://purl.obolibrary.org/obo/BFO_0000019,A concentration (datum) is a quantification facet that quantifies a quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance. [Allotrope],,http://purl.allotrope.org/ontologies/result#AFR_0002036,http://purl.allotrope.org/ontologies/,,
DIGITRUBBER:DIGITRUBBER_000205,concentration [ncit],,http://purl.obolibrary.org/obo/BFO_0000019,"The quantity of a substance per unit volume or weight; a measure of the amount of substance present in a unit amount of mixture, particularly, the amount of solute dissolved in a solvent. The amounts can be expressed as moles, masses, volumes, or parts.",,http://purl.obolibrary.org/obo/NCIT_C41185,http://purl.obolibrary.org/obo/ncit.owl,,
DIGITRUBBER:DIGITRUBBER_000206,concentration [edam],,http://purl.obolibrary.org/obo/BFO_0000019,The concentration of a chemical compound.,,http://edamontology.org/data_2140,http://edamontology.org,,
DIGITRUBBER:DIGITRUBBER_000207,concentration [chmo],,http://purl.obolibrary.org/obo/BFO_0000019,Experimental method output expressing the contribution of one constituent to the composition of a mixture.,,http://purl.obolibrary.org/obo/CHMO_0002820,http://purl.obolibrary.org/obo/chmo.owl,,
DIGITRUBBER:DIGITRUBBER_000208,concentration [ecso],,http://purl.obolibrary.org/obo/BFO_0000019,the strength of a solution; number of molecules of a substance in a given volume,,http://purl.dataone.org/odo/ECSO_00001120,http://purl.dataone.org/odo/ECSO8.owl,,
DIGITRUBBER:DIGITRUBBER_000209,extrudate [ifnano],,http://purl.obolibrary.org/obo/BFO_0000040,,,,,,
DIGITRUBBER:DIGITRUBBER_000210,extrusion [ifnano],,http://purl.obolibrary.org/obo/BFO_0000015,Extrusion is a process used to create objects of a fixed cross-sectional profile by pushing material through a die of the desired cross-section.,,https://en.wikipedia.org/wiki/Extrusion,,,
DIGITRUBBER:DIGITRUBBER_000211,extrusion [rex],,http://purl.obolibrary.org/obo/BFO_0000015,"A transformation in which an atom or group Y connected to two other atoms or groups X and Z is lost from a molecule, leading to a product in which X is bonded to Z, e.g. X-Y-Z --> X-Z + Y.",,http://purl.obolibrary.org/obo/REX_0000100,http://purl.obolibrary.org/obo/rex.owl,,
DIGITRUBBER:DIGITRUBBER_000212,extrusion [chmo],,http://purl.obolibrary.org/obo/BFO_0000015,A process used to create objects of a fixed cross-sectional profile by forcing or drawing a material through a die.,,http://purl.obolibrary.org/obo/CHMO_0001613,http://purl.obolibrary.org/obo/chmo.owl,,
DIGITRUBBER:DIGITRUBBER_000213,Laser induced breakdown spectroscopy [ifnano],,http://purl.obolibrary.org/obo/IAO_0000104,"Laser induced breakdown spectroscopy is a type of atomic emission spectroscopy which uses a highly energetic laser pulse as the excitation source. The laser is focused to form a plasma, which atomizes and excites samples. The Emission of these excited species is analyzed to identify and quantify the elements contained in the sample.",,https://en.wikipedia.org/wiki/Laser-induced_breakdown_spectroscopy,,,
